大众 朗逸 2015款 1.6L 自动风尚版,2018-02,1.6L,2.78万公里,自动,¥7.51万
大众 桑塔纳 2015款 1.6L 手动风尚版,2016-01,1.6L,3.57万公里,手动,¥5.08万
大众 桑塔纳 2015款 1.4L 手动风尚版,2017-08,1.4L,3.57万公里,手动,¥4.42万
宝马5系 2014款 520Li 典雅型,2014-03,2.0T,4.36万公里,自动,¥22.21万
大众 桑塔纳 2015款 1.6L 手动风尚版,2016-10,1.6L,4.14万公里,手动,¥4.56万
奔驰GLK级 2013款 GLK 300 4MATIC 动感天窗型,2014-01,3.0L,10.92万公里,自动,¥18.60万
本田XR-V 2015款 1.8L EXi  CVT舒适版,2016-12,1.8L,4.33万公里,自动,¥10.87万
本田XR-V 2015款 1.8L EXi  CVT舒适版,2016-01,1.8L,7.38万公里,自动,¥10.87万
本田 飞度 2020款 1.5L CVT舒适版,2020-01,1.5L,0.01万公里,自动,¥8.09万
大众 捷达 2015款 质惠版 1.6L 自动时尚型,2016-06,1.6L,6.56万公里,自动,¥5.16万
宝马5系 2013款 525Li 领先型,2013-03,2.0T,13.71万公里,自动,¥19.53万
斯柯达 昕锐 2016款 1.6L 自动前行版,2019-01,1.6L,2.35万公里,自动,¥5.94万
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2017-01,1.6L,3.76万公里,自动,¥6.87万
大众 捷达 2015款 质惠版 1.4L 手动时尚型,2016-01,1.4L,9万公里,手动,¥4.64万
雪佛兰 科帕奇 2015款 2.4L 四驱旗舰版 7座,2016-11,2.4L,5.15万公里,自动,¥9.64万
