金地旭辉·江山风华, 55800元/平(均价), 480万/套
金融街·融府, 66555元/平(均价), 0
世园村, 28380元/平(均价), 253万/套
万科大都会79号, 2500万/套(总价), 0
华樾北京, 78148元/平(均价), 690万/套
首开熙悦观湖, 280万/套(总价), 280万/套
金地·大湖风华, 330万/套(总价), 265万/套
国誉府, 43467元/平(均价), 300万/套
金辰府, 53000元/平(均价), 400万/套
熙湖悦著, 34000元/平(均价), 275万/套
华发中央公园, 41000元/平(均价), 365万/套
建邦·顺颐府, 423万/套(总价), 423万/套
橡树珑湾, 36000元/平(均价), 324万/套
中铁·诺德春风和院, 67702元/平(均价), 590万/套
萬橡悦府, 54197元/平(均价), 380万/套
未来金茂府, 920万/套(总价), 920万/套
中海首钢长安云锦, 58802元/平(均价), 0
中铁诺德·逸府, 67702元/平(均价), 467万/套
葛洲坝中国府, 125000元/平(均价), 2000万/套
华萃西山, 780万/套(总价), 780万/套
葛洲坝北京紫郡兰园, 53000元/平(均价), 0
首开琅樾二期, 66000元/平(均价), 1280万/套
山屿西山著, 800万/套(总价), 800万/套
信达·国子郡, 48810元/平(均价), 390万/套
华业玫瑰东筑, 425万/套(总价), 425万/套
保利和光逸境, 840万/套(总价), 1600万/套
天恒世界集, 55000元/平(均价), 0
富兴首府, 85000元/平(均价), 1200万/套
中铁诺德阅墅, 1300万/套(总价), 1300万/套
世茂国风长安, 2300万/套(总价), 0
中铁华侨城和园, 50000元/平(均价), 1350万/套
金地·大湖风华, 500万/套(总价), 540万/套
懋源·璟岳, 2300万/套(总价), 2900万/套
懋源·璟岳, 5500万/套(总价), 5500万/套
山屿西山著, 53000元/平(均价), 1400万/套
御世佳府, 70000元/平(均价), 1400万/套
碧桂园·京源著, 230万/套(总价), 230万/套
城市之光·东望, 51585元/平(均价), 400万/套
合景泰富天汇, 38000元/平(均价), 330万/套
懋源·璟玺, 86000元/平(均价), 0
金隅学府, 52695元/平(均价), 374万/套
台湖金茂悦, 50000元/平(均价), 400万/套
中国铁建国际公馆, 52590元/平(均价), 365万/套
观承·望溪, 700万/套(总价), 700万/套
西山上品湾MOMA, 37500元/平(均价), 460万/套
万科雲庐, 39000元/平(均价), 510万/套
万科雲庐, 39000元/平(均价), 830万/套
中骏天峰, 53000元/平(均价), 470万/套
北京城建宽院国誉府, 31000元/平(均价), 0
北京城建宽院国誉府, 31000元/平(均价), 420万/套
中国铁建·山语澜廷, 32000元/平(均价), 305万/套
合景·领汇长安, 50000元/平(均价), 390万/套
臻御府, 67702元/平(均价), 580万/套
ID PARK艾迪公园, 23000元/平(均价), 0
大苑·海淀府, 2000万/套(总价), 2000万/套
禹洲朗廷湾, 52508元/平(均价), 420万/套
禧悦学府, 62766元/平(均价), 460万/套
金茂北京国际社区, 200万/套(总价), 230万/套
西山锦绣府, 58622元/平(均价), 522万/套
住总如院, 31136元/平(均价), 314万/套
京华雅郡, 52000元/平(均价), 480万/套
住总如院, 31136元/平(均价), 550万/套
国家对外文化贸易基地（北京）, 26500元/平(均价), 0
北京城建·樾府, 32600元/平(均价), 290万/套
东方蓝海中心, 60000元/平(均价), 0
泰晤士运河东棠, 39000元/平(均价), 347万/套
建邦·顺颐府, 1279万/套(总价), 1279万/套
和悦春风, 35000元/平(均价), 273万/套
阳光城溪山悦, 22000元/平(均价), 139万/套
融创公园壹号, 40000元/平(均价), 268万/套
小营路5号, 67000元/平(均价), 762万/套
北京城建·府前龙樾, 43500元/平(均价), 457万/套
北京风景, 46800元/平(均价), 400万/套
京投发展公园悦府, 58500元/平(均价), 495万/套
新世界丽樽, 47000元/平(均价), 1800万/套
北京半岛, 1000万/套(总价), 1300万/套
首开璞瑅墅, 1600万/套(总价), 1600万/套
星光视界中心, 33000元/平(均价), 0
长阳光和作用, 35800元/平(均价), 420万/套
中国铁建原香漫谷, 30000元/平(均价), 0
枢密院, 26000元/平(均价), 0
金玉府, 78000元/平(均价), 1080万/套
M5运河1号, 0, 0
鸿坤跃界, 45000元/平(均价), 0
阳光城京兆府, 1200万/套(总价), 1200万/套
亦庄金茂府, 68000元/平(均价), 1000万/套
和成璟园, 63000元/平(均价), 868万/套
花雨汀, 0, 0
珠江东都国际, 60000元/平(均价), 910万/套
领秀慧谷D区, 58500元/平(均价), 0
润枫领尚, 49500元/平(均价), 700万/套
鲁能7号别墅, 0, 0
紫禁壹號院, 3700万/套(总价), 0
远洋天著三期, 2400万/套(总价), 0
首开华润城, 78000元/平(均价), 0
泽信公馆, 890万/套(总价), 890万/套
易郡, 1300万/套(总价), 2500万/套
中铁花溪渡, 43000元/平(均价), 0
景粼原著, 72000元/平(均价), 0
卓越万科翡翠山晓, 49900元/平(均价), 430万/套
瀛海府, 52449元/平(均价), 0
瀛海府, 52449元/平(均价), 0
上林溪, 80000元/平(均价), 870万/套
远大美域, 19000元/平(均价), 434万/套
首开华润城, 78000元/平(均价), 0
通用博园, 28000元/平(均价), 0
首开国风美唐三期, 59000元/平(均价), 0
花雨汀, 0, 0
和成璟园, 63000元/平(均价), 868万/套
泽信公馆, 890万/套(总价), 890万/套
北京壹号院, 170000元/平(均价), 0
景粼原著, 72000元/平(均价), 0
金地华著, 0, 0
益田远洋万和风景, 21000元/平(均价), 0
M5运河1号, 0, 0
鲁能钓鱼台美高梅公馆, 6000万/套(总价), 6150万/套
鸿坤跃界, 45000元/平(均价), 0
易郡, 1300万/套(总价), 2500万/套
合景映月台, 1800万/套(总价), 0
中铁花溪渡, 43000元/平(均价), 0
阳光城京兆府, 1200万/套(总价), 1200万/套
润枫领尚, 49500元/平(均价), 700万/套
领秀慧谷D区, 58500元/平(均价), 0
亦庄金茂府, 68000元/平(均价), 1000万/套
枢密院, 33000元/平(均价), 0
M5运河1号, 71000元/平(均价), 0
珠江东都国际, 60000元/平(均价), 910万/套
珠江紫宸山, 2100万/套(总价), 0
首开保利熙悦诚郡, 79000元/平(均价), 1000万/套
西山艺境华墅, 0, 0
五矿万科如园, 7000万/套(总价), 7000万/套
五和万科长阳天地, 50000元/平(均价), 0
旭辉26街区, 36000元/平(均价), 0
派尚国际2期, 48000元/平(均价), 0
鲁能7号别墅, 0, 0
北京城建海梓府, 800万/套(总价), 0
紫禁壹號院, 3700万/套(总价), 0
北京城建琨廷, 28000元/平(均价), 0
8哩岛, 48000元/平(均价), 996万/套
金地旭辉·江山风华, 55800元/平(均价), 480万/套
大兴金茂悦, 37500元/平(均价), 291万/套
中海寰宇时代, 52449元/平(均价), 350万/套
润泽御府, 5600万/套(总价), 0
北京岭秀, 460万/套(总价), 460万/套
天恒水岸壹号, 1000万/套(总价), 1100万/套
观唐云鼎, 485万/套(总价), 485万/套
运河铭著, 42000元/平(均价), 460万/套
世界名园, 21800元/平(均价), 280万/套
万年广阳郡九号, 48500元/平(均价), 680万/套
鸿坤新都荟, 55000元/平(均价), 0
丰台金茂广场, 63000元/平(均价), 0
北京城建·樾府, 32600元/平(均价), 290万/套
尊悦光华, 1700万/套(总价), 1700万/套
万科翠湖国际, 43000元/平(均价), 0
公园懿府, 74000元/平(均价), 1050万/套
林肯时代, 42000元/平(均价), 430万/套
住总香榭8号, 1450万/套(总价), 1450万/套
金地旭辉·江山风华, 55800元/平(均价), 480万/套
大兴金茂悦, 37500元/平(均价), 291万/套
中海寰宇时代, 52449元/平(均价), 350万/套
润泽御府, 5600万/套(总价), 0
北京岭秀, 460万/套(总价), 460万/套
天恒水岸壹号, 1000万/套(总价), 1100万/套
观唐云鼎, 485万/套(总价), 485万/套
运河铭著, 42000元/平(均价), 460万/套
世界名园, 21800元/平(均价), 280万/套
万年广阳郡九号, 48500元/平(均价), 680万/套
